Relative_time,Resonance_Frequency,Dissipation,target
0.0528,15045338.0,2.596320781954575e-05,0
0.0807,15045668.0,2.571524183617484e-05,0
0.1119,15045614.0,2.347454129197761e-05,0
0.1176,15045614.0,2.336217357405023e-05,0
0.1234,15045614.0,2.336217357405023e-05,0
0.1292,15045614.0,2.339956958799453e-05,0
0.135,15045614.0,2.336217357405023e-05,0
0.1409,15045614.0,2.336217357405023e-05,0
0.1467,15045614.0,2.336217357405023e-05,0
0.1525,15045614.0,2.336217357405023e-05,0
0.1583,15045614.0,2.336217357405023e-05,0
0.1642,15045614.0,2.336217357405023e-05,0
0.17,15045614.0,2.336217357405023e-05,0
0.1757,15045614.0,2.336217357405023e-05,0
0.1815,15045614.0,2.336217357405023e-05,0
0.1874,15045614.0,2.339956958799453e-05,0
0.1933,15045615.0,2.339956958799453e-05,0
0.199,15045614.0,2.336217357405023e-05,0
0.2048,15045614.0,2.336217357405023e-05,0
0.2106,15045614.0,2.336217357405023e-05,0
0.2163,15045614.0,2.339956958799453e-05,0
0.2222,15045614.0,2.339956958799453e-05,0
0.2281,15045614.0,2.336217357405023e-05,0
0.2339,15045614.0,2.336217357405023e-05,0
0.2396,15045614.0,2.336217357405023e-05,0
0.2454,15045614.0,2.336217357405023e-05,0
0.2513,15045614.0,2.336217357405023e-05,0
0.2572,15045614.0,2.336217357405023e-05,0
0.2629,15045614.0,2.336217357405023e-05,0
0.2687,15045614.0,2.332483732453251e-05,0
0.2746,15045614.0,2.332483732453251e-05,0
0.2805,15045615.0,2.336217357405023e-05,0
0.2862,15045615.0,2.336217357405023e-05,0
0.292,15045615.0,2.332483732453251e-05,0
0.2977,15045614.0,2.332483732453251e-05,0
0.3035,15045614.0,2.336217357405023e-05,0
0.3093,15045615.0,2.336217357405023e-05,0
0.315,15045615.0,2.336217357405023e-05,0
0.3209,15045615.0,2.336217357405023e-05,0
0.3268,15045614.0,2.332483732453251e-05,0
0.3325,15045614.0,2.332483732453251e-05,0
0.3383,15045615.0,2.339956958799453e-05,0
0.3441,15045615.0,2.339956958799453e-05,0
0.3498,15045614.0,2.332483732453251e-05,0
0.3557,15045614.0,2.332483732453251e-05,0
0.3615,15045614.0,2.336217357405023e-05,0
0.3671,15045615.0,2.336217357405023e-05,0
0.3788,15045614.0,2.336217357405023e-05,0
0.3846,15045615.0,2.336217357405023e-05,0
0.3904,15045615.0,2.336217357405023e-05,0
0.3962,15045615.0,2.332483732453251e-05,0
0.4019,15045615.0,2.332483732453251e-05,0
0.4078,15045615.0,2.336217357405023e-05,0
0.4137,15045615.0,2.336217357405023e-05,0
0.4195,15045615.0,2.336217357405023e-05,0
0.4252,15045615.0,2.336217357405023e-05,0
0.431,15045615.0,2.336217357405023e-05,0
0.4367,15045615.0,2.336217357405023e-05,0
0.4425,15045615.0,2.332483732453251e-05,0
0.4484,15045615.0,2.332483732453251e-05,0
0.4543,15045615.0,2.332483732453251e-05,0
0.46,15045615.0,2.332483732453251e-05,0
0.4658,15045615.0,2.336217357405023e-05,0
0.4716,15045615.0,2.336217357405023e-05,0
0.4774,15045615.0,2.336217357405023e-05,0
0.4833,15045615.0,2.336217357405023e-05,0
0.4891,15045615.0,2.336217357405023e-05,0
0.4949,15045615.0,2.336217357405023e-05,0
0.5006,15045615.0,2.336217357405023e-05,0
0.5065,15045615.0,2.336217357405023e-05,0
0.5123,15045615.0,2.336217357405023e-05,0
0.5179,15045615.0,2.336217357405023e-05,0
0.5238,15045615.0,2.336217357405023e-05,0
0.5297,15045615.0,2.336217357405023e-05,0
0.5354,15045615.0,2.336217357405023e-05,0
0.5469,15045616.0,2.336217357405023e-05,0
0.5527,15045615.0,2.336217357405023e-05,0
0.5586,15045615.0,2.336217357405023e-05,0
0.5645,15045615.0,2.336217357405023e-05,0
0.5702,15045615.0,2.336217357405023e-05,0
0.576,15045615.0,2.336217357405023e-05,0
0.5818,15045615.0,2.332483732453251e-05,0
0.5875,15045615.0,2.332483732453251e-05,0
0.5933,15045616.0,2.336217357405023e-05,0
0.599,15045615.0,2.336217357405023e-05,0
0.6048,15045615.0,2.336217357405023e-05,0
0.6106,15045615.0,2.336217357405023e-05,0
0.6163,15045615.0,2.332483732453251e-05,0
0.6222,15045615.0,2.332483732453251e-05,0
0.6281,15045615.0,2.332483732453251e-05,0
0.6339,15045615.0,2.332483732453251e-05,0
0.6396,15045615.0,2.332483732453251e-05,0
0.6454,15045615.0,2.328756074392889e-05,0
0.6511,15045615.0,2.328756074392889e-05,0
0.657,15045615.0,2.332483732453251e-05,0
0.6629,15045615.0,2.336217357405023e-05,0
0.6687,15045616.0,2.336217357405023e-05,0
0.6744,15045615.0,2.336217357405023e-05,0
0.6802,15045615.0,2.332483732453251e-05,0
0.686,15045615.0,2.332483732453251e-05,0
0.6918,15045615.0,2.336217357405023e-05,0
0.6977,15045615.0,2.332483732453251e-05,0
0.7093,15045616.0,2.336217357405023e-05,0
0.715,15045616.0,2.332483732453251e-05,0
0.7208,15045616.0,2.332483732453251e-05,0
0.7265,15045616.0,2.336217357405023e-05,0
0.7323,15045616.0,2.336217357405023e-05,0
0.7382,15045616.0,2.336217357405023e-05,0
0.7441,15045616.0,2.332483732453251e-05,0
0.7498,15045616.0,2.328756074392889e-05,0
0.7556,15045616.0,2.332483732453251e-05,0
0.7613,15045616.0,2.336217357405023e-05,0
0.7671,15045616.0,2.336217357405023e-05,0
0.773,15045616.0,2.336217357405023e-05,0
0.7788,15045616.0,2.332483732453251e-05,0
0.7845,15045615.0,2.332483732453251e-05,0
0.7904,15045615.0,2.332483732453251e-05,0
0.7962,15045615.0,2.328756074392889e-05,0
0.8019,15045615.0,2.328756074392889e-05,0
0.8077,15045615.0,2.328756074392889e-05,0
0.8134,15045616.0,2.328756074392889e-05,0
0.8192,15045616.0,2.332483732453251e-05,0
0.825,15045616.0,2.336217357405023e-05,0
0.8309,15045616.0,2.336217357405023e-05,0
0.8366,15045616.0,2.336217357405023e-05,0
0.8424,15045616.0,2.332483732453251e-05,0
0.8483,15045616.0,2.336217357405023e-05,0
0.854,15045616.0,2.339956958799453e-05,0
0.8598,15045615.0,2.336217357405023e-05,0
0.8713,15045617.0,2.332483732453251e-05,0
0.8772,15045616.0,2.328756074392889e-05,0
0.8831,15045616.0,2.328756074392889e-05,0
0.8888,15045616.0,2.332483732453251e-05,0
0.8946,15045616.0,2.332483732453251e-05,0
0.9004,15045616.0,2.332483732453251e-05,0
0.9061,15045616.0,2.332483732453251e-05,0
0.912,15045616.0,2.336217357405023e-05,0
0.9179,15045616.0,2.336217357405023e-05,0
0.9237,15045616.0,2.332483732453251e-05,0
0.9294,15045616.0,2.332483732453251e-05,0
0.9352,15045616.0,2.332483732453251e-05,0
0.9409,15045616.0,2.332483732453251e-05,0
0.9468,15045616.0,2.332483732453251e-05,0
0.9527,15045616.0,2.328756074392889e-05,0
0.9585,15045616.0,2.332483732453251e-05,0
0.9642,15045616.0,2.332483732453251e-05,0
0.97,15045616.0,2.328756074392889e-05,0
0.9757,15045616.0,2.336217357405023e-05,0
0.9815,15045616.0,2.339956958799453e-05,0
0.9874,15045616.0,2.336217357405023e-05,0
0.9933,15045616.0,2.336217357405023e-05,0
0.999,15045616.0,2.336217357405023e-05,0
1.0048,15045616.0,2.332483732453251e-05,0
1.0106,15045616.0,2.328756074392889e-05,0
1.0163,15045616.0,2.328756074392889e-05,0
1.0221,15045616.0,2.332483732453251e-05,0
1.028,15045616.0,2.336217357405023e-05,0
