Relative_time,Resonance_Frequency,Dissipation,target
0.0542,15022463.0,3.003094664558989e-05,0
0.0822,15022824.0,3.155748093404753e-05,0
0.1129,15022736.0,3.041767424941981e-05,0
0.1175,15022737.0,3.061290161380538e-05,0
0.1221,15022737.0,3.056397761580959e-05,0
0.1267,15022737.0,3.051513180568405e-05,0
0.1312,15022737.0,3.056397761580959e-05,0
0.1358,15022737.0,3.056397761580959e-05,0
0.1404,15022737.0,3.056397761580959e-05,0
0.1449,15022737.0,3.056397761580959e-05,0
0.1495,15022737.0,3.056397761580959e-05,0
0.1541,15022737.0,3.056397761580959e-05,0
0.1586,15022737.0,3.051513180568405e-05,0
0.1632,15022737.0,3.051513180568405e-05,0
0.1677,15022737.0,3.056397761580959e-05,0
0.1723,15022737.0,3.061290161380538e-05,0
0.1768,15022737.0,3.061290161380538e-05,0
0.1814,15022737.0,3.056397761580959e-05,0
0.1859,15022737.0,3.051513180568405e-05,0
0.1905,15022737.0,3.051513180568405e-05,0
0.1951,15022737.0,3.056397761580959e-05,0
0.1997,15022737.0,3.056397761580959e-05,0
0.2043,15022737.0,3.056397761580959e-05,0
0.2088,15022737.0,3.056397761580959e-05,0
0.2134,15022737.0,3.056397761580959e-05,0
0.218,15022737.0,3.056397761580959e-05,0
0.2225,15022737.0,3.051513180568405e-05,0
0.227,15022738.0,3.056397761580959e-05,0
0.2316,15022737.0,3.061290161380538e-05,0
0.2361,15022738.0,3.061290161380538e-05,0
0.2407,15022738.0,3.056397761580959e-05,0
0.2453,15022737.0,3.056397761580959e-05,0
0.2498,15022737.0,3.061290161380538e-05,0
0.2544,15022737.0,3.056397761580959e-05,0
0.2589,15022737.0,3.056397761580959e-05,0
0.2635,15022737.0,3.056397761580959e-05,0
0.2681,15022737.0,3.051513180568405e-05,0
0.2726,15022738.0,3.051513180568405e-05,0
0.2772,15022737.0,3.056397761580959e-05,0
0.2818,15022737.0,3.061290161380538e-05,0
0.2863,15022737.0,3.061290161380538e-05,0
0.2909,15022737.0,3.056397761580959e-05,0
0.2955,15022737.0,3.051513180568405e-05,0
0.3,15022738.0,3.056397761580959e-05,0
0.3046,15022738.0,3.061290161380538e-05,0
0.3092,15022737.0,3.056397761580959e-05,0
0.3137,15022737.0,3.056397761580959e-05,0
0.3183,15022737.0,3.056397761580959e-05,0
0.3228,15022738.0,3.056397761580959e-05,0
0.3274,15022737.0,3.056397761580959e-05,0
0.332,15022738.0,3.051513180568405e-05,0
0.3365,15022738.0,3.056397761580959e-05,0
0.3411,15022738.0,3.061290161380538e-05,0
0.3456,15022738.0,3.056397761580959e-05,0
0.3502,15022738.0,3.051513180568405e-05,0
0.3548,15022738.0,3.051513180568405e-05,0
0.3593,15022738.0,3.051513180568405e-05,0
0.3639,15022738.0,3.051513180568405e-05,0
0.3685,15022738.0,3.051513180568405e-05,0
0.3731,15022738.0,3.051513180568405e-05,0
0.3776,15022738.0,3.051513180568405e-05,0
0.3822,15022738.0,3.051513180568405e-05,0
0.3867,15022738.0,3.051513180568405e-05,0
0.3913,15022738.0,3.051513180568405e-05,0
0.3959,15022738.0,3.051513180568405e-05,0
0.4004,15022738.0,3.051513180568405e-05,0
0.405,15022738.0,3.056397761580959e-05,0
0.4096,15022738.0,3.056397761580959e-05,0
0.4141,15022738.0,3.056397761580959e-05,0
0.4187,15022738.0,3.051513180568405e-05,0
0.4232,15022738.0,3.051513180568405e-05,0
0.4278,15022738.0,3.056397761580959e-05,0
0.4324,15022738.0,3.051513180568405e-05,0
0.4369,15022738.0,3.051513180568405e-05,0
0.4415,15022738.0,3.051513180568405e-05,0
0.4461,15022738.0,3.051513180568405e-05,0
0.4506,15022738.0,3.056397761580959e-05,0
0.4552,15022738.0,3.056397761580959e-05,0
0.4598,15022738.0,3.051513180568405e-05,0
0.4643,15022738.0,3.051513180568405e-05,0
0.4689,15022738.0,3.056397761580959e-05,0
0.4734,15022738.0,3.061290161380538e-05,0
0.478,15022738.0,3.061290161380538e-05,0
0.4826,15022738.0,3.061290161380538e-05,0
0.4872,15022738.0,3.061290161380538e-05,0
0.4917,15022738.0,3.056397761580959e-05,0
0.4962,15022738.0,3.056397761580959e-05,0
0.5008,15022738.0,3.056397761580959e-05,0
0.5054,15022738.0,3.056397761580959e-05,0
0.51,15022738.0,3.056397761580959e-05,0
0.5145,15022738.0,3.051513180568405e-05,0
0.5191,15022739.0,3.056397761580959e-05,0
0.5236,15022739.0,3.061290161380538e-05,0
0.5282,15022738.0,3.056397761580959e-05,0
0.5328,15022738.0,3.051513180568405e-05,0
0.5374,15022738.0,3.056397761580959e-05,0
0.5419,15022738.0,3.061290161380538e-05,0
0.5465,15022738.0,3.056397761580959e-05,0
0.551,15022738.0,3.051513180568405e-05,0
0.5556,15022738.0,3.051513180568405e-05,0
0.5602,15022738.0,3.051513180568405e-05,0
0.5648,15022739.0,3.056397761580959e-05,0
0.5693,15022739.0,3.061290161380538e-05,0
0.5739,15022738.0,3.056397761580959e-05,0
0.5784,15022738.0,3.056397761580959e-05,0
0.583,15022738.0,3.056397761580959e-05,0
0.5875,15022738.0,3.051513180568405e-05,0
0.592,15022739.0,3.056397761580959e-05,0
0.5966,15022739.0,3.061290161380538e-05,0
0.6012,15022738.0,3.061290161380538e-05,0
0.6057,15022739.0,3.056397761580959e-05,0
0.6103,15022739.0,3.056397761580959e-05,0
0.6148,15022739.0,3.056397761580959e-05,0
0.6194,15022738.0,3.051513180568405e-05,0
0.6239,15022738.0,3.051513180568405e-05,0
0.6284,15022739.0,3.051513180568405e-05,0
0.6375,15022739.0,3.051513180568405e-05,0
0.6421,15022738.0,3.051513180568405e-05,0
0.6467,15022739.0,3.051513180568405e-05,0
0.6512,15022738.0,3.056397761580959e-05,0
0.6558,15022738.0,3.061290161380538e-05,0
0.6604,15022738.0,3.061290161380538e-05,0
0.6649,15022738.0,3.056397761580959e-05,0
0.6695,15022738.0,3.051513180568405e-05,0
0.6741,15022738.0,3.051513180568405e-05,0
0.6786,15022738.0,3.056397761580959e-05,0
0.6832,15022738.0,3.056397761580959e-05,0
0.6877,15022738.0,3.056397761580959e-05,0
0.6923,15022738.0,3.056397761580959e-05,0
0.6969,15022738.0,3.051513180568405e-05,0
0.7014,15022739.0,3.051513180568405e-05,0
0.706,15022739.0,3.056397761580959e-05,0
0.7106,15022739.0,3.061290161380538e-05,0
0.7151,15022738.0,3.061290161380538e-05,0
0.7197,15022738.0,3.056397761580959e-05,0
0.7242,15022739.0,3.051513180568405e-05,0
0.7288,15022739.0,3.051513180568405e-05,0
0.7334,15022739.0,3.056397761580959e-05,0
0.738,15022738.0,3.056397761580959e-05,0
0.7426,15022739.0,3.056397761580959e-05,0
0.7471,15022739.0,3.056397761580959e-05,0
0.7516,15022739.0,3.051513180568405e-05,0
0.7562,15022739.0,3.051513180568405e-05,0
0.7608,15022739.0,3.051513180568405e-05,0
0.7654,15022739.0,3.056397761580959e-05,0
0.7699,15022738.0,3.061290161380538e-05,0
0.7745,15022739.0,3.061290161380538e-05,0
0.7791,15022739.0,3.056397761580959e-05,0
0.7837,15022738.0,3.051513180568405e-05,0
0.7882,15022738.0,3.051513180568405e-05,0
0.7928,15022739.0,3.051513180568405e-05,0
0.7974,15022739.0,3.051513180568405e-05,0
0.8019,15022738.0,3.051513180568405e-05,0
0.8065,15022738.0,3.051513180568405e-05,0
0.811,15022739.0,3.051513180568405e-05,0
0.8156,15022739.0,3.051513180568405e-05,0
0.8202,15022739.0,3.051513180568405e-05,0
0.8248,15022739.0,3.051513180568405e-05,0
0.8293,15022739.0,3.051513180568405e-05,0
0.8339,15022739.0,3.051513180568405e-05,0
0.8384,15022739.0,3.051513180568405e-05,0
0.843,15022739.0,3.051513180568405e-05,0
0.8476,15022738.0,3.046636405847287e-05,0
0.8521,15022738.0,3.046636405847287e-05,0
0.8567,15022739.0,3.051513180568405e-05,0
0.8613,15022739.0,3.051513180568405e-05,0
0.8658,15022739.0,3.051513180568405e-05,0
0.8704,15022738.0,3.051513180568405e-05,0
0.8749,15022739.0,3.051513180568405e-05,0
0.8795,15022738.0,3.056397761580959e-05,0
0.8841,15022739.0,3.056397761580959e-05,0
0.8887,15022739.0,3.056397761580959e-05,0
0.8932,15022739.0,3.056397761580959e-05,0
0.8978,15022739.0,3.051513180568405e-05,0
0.9024,15022739.0,3.051513180568405e-05,0
0.9069,15022739.0,3.051513180568405e-05,0
0.9115,15022738.0,3.051513180568405e-05,0
0.916,15022738.0,3.056397761580959e-05,0
0.9207,15022739.0,3.061290161380538e-05,0
0.9252,15022739.0,3.061290161380538e-05,0
0.9297,15022738.0,3.056397761580959e-05,0
0.9343,15022738.0,3.051513180568405e-05,0
0.9389,15022739.0,3.056397761580959e-05,0
0.9435,15022739.0,3.061290161380538e-05,0
0.948,15022739.0,3.061290161380538e-05,0
0.9526,15022739.0,3.061290161380538e-05,0
0.9571,15022738.0,3.056397761580959e-05,0
0.9617,15022738.0,3.056397761580959e-05,0
0.9663,15022738.0,3.056397761580959e-05,0
0.9708,15022739.0,3.051513180568405e-05,0
0.9754,15022739.0,3.056397761580959e-05,0
0.98,15022739.0,3.056397761580959e-05,0
0.9845,15022739.0,3.051513180568405e-05,0
0.9891,15022739.0,3.056397761580959e-05,0
0.9936,15022739.0,3.056397761580959e-05,0
0.9982,15022739.0,3.051513180568405e-05,0
1.0028,15022738.0,3.051513180568405e-05,0
1.0074,15022738.0,3.056397761580959e-05,0
1.0119,15022738.0,3.056397761580959e-05,0
1.0165,15022739.0,3.051513180568405e-05,0
1.021,15022739.0,3.051513180568405e-05,0
1.0256,15022739.0,3.056397761580959e-05,0
1.0301,15022739.0,3.061290161380538e-05,0
1.0347,15022739.0,3.056397761580959e-05,0
1.0392,15022739.0,3.051513180568405e-05,0
1.0438,15022739.0,3.056397761580959e-05,0
1.0484,15022739.0,3.061290161380538e-05,0
1.0529,15022739.0,3.056397761580959e-05,0
1.0574,15022739.0,3.056397761580959e-05,0
1.062,15022739.0,3.061290161380538e-05,0
1.0665,15022739.0,3.056397761580959e-05,0
1.0711,15022739.0,3.051513180568405e-05,0
1.0756,15022739.0,3.056397761580959e-05,0
1.0802,15022738.0,3.056397761580959e-05,0
1.0893,15022738.0,3.051513180568405e-05,0
1.0939,15022739.0,3.051513180568405e-05,0
1.0984,15022739.0,3.056397761580959e-05,0
1.103,15022739.0,3.061290161380538e-05,0
1.1076,15022739.0,3.061290161380538e-05,0
1.1121,15022739.0,3.056397761580959e-05,0
1.1167,15022739.0,3.056397761580959e-05,0
1.1213,15022739.0,3.056397761580959e-05,0
1.1259,15022739.0,3.051513180568405e-05,0
1.1304,15022739.0,3.051513180568405e-05,0
1.1349,15022739.0,3.051513180568405e-05,0
1.1395,15022738.0,3.051513180568405e-05,0
1.1441,15022738.0,3.056397761580959e-05,0
1.1487,15022739.0,3.056397761580959e-05,0
1.1532,15022739.0,3.056397761580959e-05,0
1.1578,15022739.0,3.061290161380538e-05,0
1.1624,15022739.0,3.056397761580959e-05,0
1.1669,15022739.0,3.056397761580959e-05,0
1.1715,15022739.0,3.056397761580959e-05,0
1.1761,15022739.0,3.056397761580959e-05,0
1.1807,15022739.0,3.061290161380538e-05,0
1.1852,15022739.0,3.056397761580959e-05,0
1.1898,15022739.0,3.051513180568405e-05,0
1.1944,15022738.0,3.051513180568405e-05,0
1.1989,15022739.0,3.051513180568405e-05,0
1.2035,15022739.0,3.051513180568405e-05,0
1.208,15022739.0,3.056397761580959e-05,0
1.2126,15022739.0,3.061290161380538e-05,0
1.2172,15022739.0,3.056397761580959e-05,0
1.2217,15022739.0,3.051513180568405e-05,0
1.2263,15022739.0,3.051513180568405e-05,0
1.2309,15022739.0,3.051513180568405e-05,0
1.2354,15022739.0,3.051513180568405e-05,0
1.24,15022738.0,3.051513180568405e-05,0
1.2446,15022739.0,3.051513180568405e-05,0
1.2491,15022739.0,3.051513180568405e-05,0
1.2537,15022739.0,3.051513180568405e-05,0
1.2582,15022739.0,3.051513180568405e-05,0
1.2628,15022739.0,3.051513180568405e-05,0
1.2674,15022739.0,3.056397761580959e-05,0
1.272,15022739.0,3.056397761580959e-05,0
1.2765,15022739.0,3.051513180568405e-05,0
1.2811,15022738.0,3.056397761580959e-05,0
1.2856,15022738.0,3.056397761580959e-05,0
1.2902,15022738.0,3.051513180568405e-05,0
1.2947,15022738.0,3.051513180568405e-05,0
1.2993,15022739.0,3.051513180568405e-05,0
1.3039,15022739.0,3.051513180568405e-05,0
1.3084,15022739.0,3.051513180568405e-05,0
1.3131,15022738.0,3.051513180568405e-05,0
1.3176,15022738.0,3.051513180568405e-05,0
1.3222,15022738.0,3.051513180568405e-05,0
1.3267,15022738.0,3.051513180568405e-05,0
1.3313,15022738.0,3.051513180568405e-05,0
1.3358,15022738.0,3.051513180568405e-05,0
1.3404,15022739.0,3.056397761580959e-05,0
1.345,15022739.0,3.056397761580959e-05,0
1.3495,15022739.0,3.051513180568405e-05,0
1.3541,15022738.0,3.056397761580959e-05,0
1.3586,15022738.0,3.056397761580959e-05,0
1.3632,15022739.0,3.051513180568405e-05,0
1.3678,15022739.0,3.056397761580959e-05,0
1.3724,15022739.0,3.056397761580959e-05,0
1.3769,15022739.0,3.056397761580959e-05,0
1.3815,15022739.0,3.056397761580959e-05,0
1.3861,15022738.0,3.051513180568405e-05,0
1.3907,15022738.0,3.051513180568405e-05,0
1.3952,15022738.0,3.051513180568405e-05,0
1.3997,15022738.0,3.056397761580959e-05,0
1.4043,15022739.0,3.061290161380538e-05,0
1.4089,15022738.0,3.056397761580959e-05,0
1.4135,15022738.0,3.051513180568405e-05,0
1.418,15022739.0,3.051513180568405e-05,0
1.4225,15022739.0,3.051513180568405e-05,0
1.4271,15022739.0,3.051513180568405e-05,0
1.4317,15022738.0,3.051513180568405e-05,0
1.4362,15022738.0,3.056397761580959e-05,0
1.4408,15022738.0,3.061290161380538e-05,0
1.4454,15022738.0,3.056397761580959e-05,0
1.45,15022738.0,3.051513180568405e-05,0
1.4545,15022738.0,3.051513180568405e-05,0
1.4591,15022738.0,3.056397761580959e-05,0
1.4636,15022738.0,3.061290161380538e-05,0
1.4682,15022738.0,3.061290161380538e-05,0
1.4728,15022738.0,3.061290161380538e-05,0
1.4774,15022738.0,3.056397761580959e-05,0
1.4819,15022739.0,3.051513180568405e-05,0
1.4865,15022738.0,3.056397761580959e-05,0
1.4911,15022738.0,3.056397761580959e-05,0
1.4956,15022738.0,3.051513180568405e-05,0
1.5002,15022738.0,3.056397761580959e-05,0
1.5047,15022738.0,3.061290161380538e-05,0
1.5093,15022738.0,3.056397761580959e-05,0
1.5138,15022738.0,3.051513180568405e-05,0
1.5184,15022738.0,3.056397761580959e-05,0
1.5229,15022738.0,3.061290161380538e-05,0
1.5275,15022739.0,3.056397761580959e-05,0
1.532,15022738.0,3.056397761580959e-05,0
1.5366,15022738.0,3.056397761580959e-05,0
1.5412,15022738.0,3.051513180568405e-05,0
1.5503,15022738.0,3.051513180568405e-05,0
1.5548,15022738.0,3.051513180568405e-05,0
1.5594,15022738.0,3.051513180568405e-05,0
1.564,15022738.0,3.051513180568405e-05,0
1.5685,15022738.0,3.056397761580959e-05,0
1.5731,15022738.0,3.061290161380538e-05,0
1.5776,15022738.0,3.061290161380538e-05,0
1.5822,15022738.0,3.061290161380538e-05,0
1.5868,15022738.0,3.056397761580959e-05,0
1.5913,15022738.0,3.051513180568405e-05,0
1.5959,15022738.0,3.051513180568405e-05,0
1.6005,15022738.0,3.051513180568405e-05,0
1.605,15022738.0,3.056397761580959e-05,0
1.6096,15022738.0,3.056397761580959e-05,0
1.6142,15022738.0,3.056397761580959e-05,0
1.6187,15022738.0,3.061290161380538e-05,0
1.6233,15022738.0,3.061290161380538e-05,0
1.6279,15022738.0,3.056397761580959e-05,0
1.6324,15022738.0,3.056397761580959e-05,0
1.637,15022738.0,3.061290161380538e-05,0
1.6415,15022738.0,3.061290161380538e-05,0
1.6461,15022738.0,3.056397761580959e-05,0
1.6506,15022738.0,3.056397761580959e-05,0
1.6552,15022738.0,3.061290161380538e-05,0
1.6598,15022738.0,3.056397761580959e-05,0
1.6644,15022738.0,3.051513180568405e-05,0
1.6689,15022738.0,3.051513180568405e-05,0
1.6735,15022738.0,3.051513180568405e-05,0
1.678,15022738.0,3.051513180568405e-05,0
1.6826,15022738.0,3.051513180568405e-05,0
