Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2023-06-27,12:57:01,0.0537,27.31,21.39,3006,15095416.0,4.188423235136067e-05
2023-06-27,12:57:01,0.082,27.38,21.45,2981,15095703.0,4.359293697466567e-05
2023-06-27,12:57:01,0.1123,27.38,21.45,2986,15095618.0,4.324570841138112e-05
2023-06-27,12:57:01,0.116,27.38,21.45,2984,15095619.0,4.338426670568495e-05
2023-06-27,12:57:01,0.1198,27.38,21.45,2984,15095619.0,4.338426670568495e-05
2023-06-27,12:57:01,0.1236,27.38,21.45,2984,15095620.0,4.338426670568495e-05
2023-06-27,12:57:01,0.1274,27.38,21.45,2983,15095620.0,4.345371224068825e-05
2023-06-27,12:57:01,0.1311,27.38,21.45,2983,15095620.0,4.345371224068825e-05
2023-06-27,12:57:01,0.1349,27.38,21.45,2984,15095620.0,4.338426670568495e-05
2023-06-27,12:57:01,0.1387,27.38,21.45,2984,15095620.0,4.338426670568495e-05
2023-06-27,12:57:01,0.1425,27.38,21.45,2984,15095620.0,4.338426670568495e-05
2023-06-27,12:57:01,0.1462,27.38,21.45,2984,15095620.0,4.338426670568495e-05
2023-06-27,12:57:01,0.1501,27.38,21.45,2984,15095620.0,4.338426670568495e-05
2023-06-27,12:57:01,0.1539,27.38,21.45,2984,15095621.0,4.338426670568495e-05
2023-06-27,12:57:01,0.1576,27.38,21.45,2984,15095621.0,4.338426670568495e-05
2023-06-27,12:57:01,0.1615,27.38,21.45,2984,15095620.0,4.338426670568495e-05
2023-06-27,12:57:01,0.1653,27.38,21.45,2986,15095623.0,4.324570841138112e-05
2023-06-27,12:57:01,0.169,27.38,21.45,2986,15095624.0,4.324570841138112e-05
2023-06-27,12:57:01,0.1727,27.38,21.45,2984,15095621.0,4.338426670568495e-05
2023-06-27,12:57:01,0.1764,27.38,21.45,2984,15095621.0,4.338426670568495e-05
2023-06-27,12:57:01,0.1802,27.38,21.45,2984,15095621.0,4.338426670568495e-05
2023-06-27,12:57:01,0.1841,27.38,21.45,2985,15095620.0,4.331493215503914e-05
2023-06-27,12:57:01,0.1878,27.38,21.45,2985,15095620.0,4.331493215503914e-05
2023-06-27,12:57:01,0.1915,27.38,21.45,2984,15095621.0,4.338426670568495e-05
2023-06-27,12:57:01,0.1953,27.38,21.45,2985,15095621.0,4.331493215503914e-05
2023-06-27,12:57:01,0.1991,27.38,21.45,2986,15095620.0,4.324570841138112e-05
2023-06-27,12:57:01,0.2028,27.38,21.45,2985,15095619.0,4.331493215503914e-05
2023-06-27,12:57:01,0.2067,27.38,21.45,2984,15095620.0,4.338426670568495e-05
2023-06-27,12:57:01,0.2105,27.38,21.45,2984,15095621.0,4.338426670568495e-05
2023-06-27,12:57:01,0.2142,27.38,21.45,2984,15095621.0,4.338426670568495e-05
2023-06-27,12:57:01,0.218,27.38,21.45,2984,15095621.0,4.338426670568495e-05
2023-06-27,12:57:01,0.2218,27.38,21.45,2984,15095621.0,4.338426670568495e-05
2023-06-27,12:57:01,0.2256,27.38,21.45,2983,15095621.0,4.345371224068825e-05
2023-06-27,12:57:01,0.2294,27.38,21.45,2983,15095621.0,4.345371224068825e-05
2023-06-27,12:57:01,0.2331,27.38,21.45,2984,15095619.0,4.338426670568495e-05
2023-06-27,12:57:01,0.237,27.38,21.45,2984,15095619.0,4.338426670568495e-05
2023-06-27,12:57:01,0.2406,27.38,21.45,2984,15095620.0,4.338426670568495e-05
2023-06-27,12:57:01,0.2444,27.38,21.45,2984,15095620.0,4.338426670568495e-05
2023-06-27,12:57:01,0.2483,27.38,21.45,2984,15095620.0,4.338426670568495e-05
2023-06-27,12:57:01,0.252,27.38,21.45,2984,15095620.0,4.338426670568495e-05
2023-06-27,12:57:02,0.2557,27.38,21.45,2983,15095619.0,4.345371224068825e-05
2023-06-27,12:57:02,0.2595,27.38,21.45,2984,15095619.0,4.338426670568495e-05
2023-06-27,12:57:02,0.2633,27.38,21.45,2984,15095619.0,4.338426670568495e-05
2023-06-27,12:57:02,0.2671,27.38,21.45,2984,15095620.0,4.338426670568495e-05
2023-06-27,12:57:02,0.2708,27.38,21.45,2985,15095621.0,4.331493215503914e-05
2023-06-27,12:57:02,0.2746,27.38,21.45,2984,15095621.0,4.338426670568495e-05
2023-06-27,12:57:02,0.2784,27.38,21.45,2984,15095621.0,4.338426670568495e-05
2023-06-27,12:57:02,0.2822,27.38,21.45,2985,15095620.0,4.331493215503914e-05
2023-06-27,12:57:02,0.286,27.38,21.45,2985,15095620.0,4.331493215503914e-05
2023-06-27,12:57:02,0.2897,27.38,21.45,2985,15095620.0,4.331493215503914e-05
2023-06-27,12:57:02,0.2935,27.38,21.45,2985,15095621.0,4.331493215503914e-05
2023-06-27,12:57:02,0.2972,27.38,21.45,2985,15095620.0,4.331493215503914e-05
2023-06-27,12:57:02,0.3009,27.38,21.45,2985,15095620.0,4.331493215503914e-05
2023-06-27,12:57:02,0.3047,27.38,21.45,2985,15095620.0,4.331493215503914e-05
2023-06-27,12:57:02,0.3085,27.38,21.45,2985,15095620.0,4.331493215503914e-05
2023-06-27,12:57:02,0.3122,27.38,21.45,2985,15095619.0,4.331493215503914e-05
2023-06-27,12:57:02,0.3159,27.38,21.45,2985,15095620.0,4.331493215503914e-05
2023-06-27,12:57:02,0.3197,27.38,21.45,2984,15095621.0,4.338426670568495e-05
2023-06-27,12:57:02,0.3235,27.38,21.45,2984,15095621.0,4.338426670568495e-05
2023-06-27,12:57:02,0.3272,27.38,21.45,2984,15095622.0,4.338426670568495e-05
