Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-02-16,14:52:11,0.0516,26.69,20.0,3152,15021277.0,3.316161207489005e-05
2024-02-16,14:52:11,0.0802,26.69,20.0,3261,15021583.0,2.785619229895698e-05
2024-02-16,14:52:11,0.1144,26.69,20.0,3403,15021517.0,2.219654181758096e-05
2024-02-16,14:52:11,0.1257,26.69,20.0,3403,15021517.0,2.219654181758096e-05
2024-02-16,14:52:11,0.1369,26.69,20.0,3403,15021516.0,2.219654181758096e-05
2024-02-16,14:52:11,0.1483,26.69,20.0,3404,15021516.0,2.216106842204673e-05
2024-02-16,14:52:11,0.1596,26.69,20.0,3403,15021516.0,2.219654181758096e-05
2024-02-16,14:52:11,0.1708,26.69,20.0,3403,15021516.0,2.219654181758096e-05
2024-02-16,14:52:11,0.1821,26.69,20.0,3403,15021517.0,2.219654181758096e-05
2024-02-16,14:52:11,0.1934,26.69,20.0,3402,15021517.0,2.223207199565684e-05
2024-02-16,14:52:11,0.2047,26.69,20.0,3403,15021517.0,2.219654181758096e-05
2024-02-16,14:52:11,0.216,26.69,20.0,3403,15021517.0,2.219654181758096e-05
2024-02-16,14:52:11,0.2273,26.69,20.0,3403,15021517.0,2.219654181758096e-05
2024-02-16,14:52:11,0.2385,26.69,20.0,3403,15021517.0,2.219654181758096e-05
2024-02-16,14:52:11,0.2498,26.69,20.0,3403,15021516.0,2.219654181758096e-05
2024-02-16,14:52:11,0.261,26.69,20.0,3404,15021516.0,2.216106842204673e-05
2024-02-16,14:52:11,0.2723,26.69,20.0,3404,15021517.0,2.216106842204673e-05
2024-02-16,14:52:11,0.2836,26.69,20.0,3404,15021517.0,2.216106842204673e-05
2024-02-16,14:52:11,0.2949,26.69,20.0,3404,15021517.0,2.216106842204673e-05
2024-02-16,14:52:11,0.3062,26.69,20.0,3404,15021516.0,2.216106842204673e-05
2024-02-16,14:52:11,0.3175,26.69,20.0,3403,15021517.0,2.219654181758096e-05
2024-02-16,14:52:11,0.3288,26.69,20.0,3402,15021517.0,2.223207199565684e-05
2024-02-16,14:52:11,0.3401,26.69,20.0,3403,15021517.0,2.219654181758096e-05
2024-02-16,14:52:11,0.3514,26.69,20.0,3404,15021517.0,2.216106842204673e-05
2024-02-16,14:52:11,0.3626,26.69,20.0,3404,15021516.0,2.216106842204673e-05
2024-02-16,14:52:11,0.3739,26.69,20.0,3403,15021517.0,2.219654181758096e-05
2024-02-16,14:52:11,0.3851,26.69,20.0,3403,15021517.0,2.219654181758096e-05
2024-02-16,14:52:11,0.3965,26.69,20.0,3404,15021517.0,2.216106842204673e-05
2024-02-16,14:52:11,0.4077,26.69,20.0,3404,15021517.0,2.216106842204673e-05
2024-02-16,14:52:11,0.4189,26.69,20.0,3403,15021517.0,2.219654181758096e-05
2024-02-16,14:52:11,0.4302,26.69,20.0,3402,15021517.0,2.223207199565684e-05
2024-02-16,14:52:11,0.4415,26.69,20.0,3403,15021517.0,2.219654181758096e-05
2024-02-16,14:52:11,0.4528,26.69,20.0,3403,15021516.0,2.219654181758096e-05
2024-02-16,14:52:11,0.464,26.69,20.0,3403,15021516.0,2.219654181758096e-05
2024-02-16,14:52:11,0.4753,26.69,20.0,3403,15021517.0,2.219654181758096e-05
2024-02-16,14:52:11,0.4867,26.69,20.0,3403,15021517.0,2.219654181758096e-05
2024-02-16,14:52:11,0.4979,26.69,20.0,3404,15021517.0,2.216106842204673e-05
2024-02-16,14:52:11,0.5091,26.69,20.0,3404,15021517.0,2.216106842204673e-05
2024-02-16,14:52:11,0.5204,26.69,20.0,3403,15021516.0,2.219654181758096e-05
2024-02-16,14:52:11,0.5317,26.69,20.0,3402,15021517.0,2.223207199565684e-05
2024-02-16,14:52:11,0.543,26.69,20.0,3403,15021517.0,2.219654181758096e-05
2024-02-16,14:52:11,0.5543,26.69,20.0,3404,15021517.0,2.216106842204673e-05
2024-02-16,14:52:11,0.5656,26.69,20.0,3404,15021517.0,2.216106842204673e-05
2024-02-16,14:52:11,0.5768,26.69,20.0,3404,15021517.0,2.216106842204673e-05
2024-02-16,14:52:11,0.588,26.69,20.0,3403,15021516.0,2.219654181758096e-05
2024-02-16,14:52:11,0.5993,26.69,20.0,3403,15021516.0,2.219654181758096e-05
