Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2023-11-15,12:19:10,0.0038,23.44,25.0,3291,15150973.0,6.015475964304636e-06
2023-11-15,12:19:10,0.0073,23.44,25.0,3291,15150980.0,6.103530467937426e-06
2023-11-15,12:19:10,0.0114,23.44,24.75,3291,15150979.0,6.2927448275198995e-06
2023-11-15,12:19:10,0.014,23.44,24.75,3291,15150977.0,5.934204475012655e-06
2023-11-15,12:19:10,0.0179,23.44,24.75,3291,15150980.0,5.887397912966929e-06
2023-11-15,12:19:10,0.0228,23.44,24.75,3291,15150980.0,5.962916002287921e-06
2023-11-15,12:19:10,0.0265,23.44,24.75,3291,15150975.0,6.29604968734648e-06
2023-11-15,12:19:10,0.0287,23.44,24.75,3293,15150980.0,5.976126522012127e-06
2023-11-15,12:19:10,0.0336,23.44,24.75,3293,15150979.0,6.198258635725741e-06
2023-11-15,12:19:10,0.0371,23.44,24.75,3290,15150980.0,6.068731819137759e-06
2023-11-15,12:19:10,0.04,23.44,24.75,3289,15150980.0,6.235290579676845e-06
2023-11-15,12:19:10,0.0445,23.44,24.75,3290,15150973.0,6.352354754884816e-06
2023-11-15,12:19:10,0.0475,23.44,24.75,3291,15150976.0,6.156339197530349e-06
2023-11-15,12:19:10,0.052,23.44,24.75,3291,15150977.0,6.014874811553861e-06
2023-11-15,12:19:10,0.0556,23.44,24.75,3291,15150977.0,6.194546760669787e-06
2023-11-15,12:19:10,0.0593,23.44,24.75,3290,15150978.0,5.896799433329153e-06
2023-11-15,12:19:10,0.0626,23.44,24.75,3290,15150972.0,6.125717033516868e-06
2023-11-15,12:19:10,0.0663,23.44,24.75,3292,15150976.0,5.939905500788322e-06
2023-11-15,12:19:10,0.0702,23.44,24.75,3292,15150977.0,5.93459892745231e-06
2023-11-15,12:19:10,0.0738,23.44,24.75,3291,15150975.0,5.9291358918739885e-06
2023-11-15,12:19:10,0.077,23.44,24.75,3291,15150981.0,5.896543080766326e-06
2023-11-15,12:19:10,0.081,23.44,24.75,3291,15150976.0,6.234216956132034e-06
2023-11-15,12:19:10,0.0845,23.44,24.75,3291,15150980.0,6.158790692224811e-06
2023-11-15,12:19:10,0.0877,23.44,24.75,3291,15150975.0,5.870971675173268e-06
2023-11-15,12:19:10,0.0927,23.44,24.75,3291,15150980.0,6.288997371495188e-06
2023-11-15,12:19:10,0.0964,23.44,24.75,3291,15150978.0,6.179517726800539e-06
2023-11-15,12:19:10,0.0998,23.44,24.75,3291,15150975.0,5.927096450828168e-06
2023-11-15,12:19:10,0.1037,23.44,24.75,3292,15150980.0,6.043879703126855e-06
2023-11-15,12:19:10,0.1059,23.44,24.75,3292,15150974.0,6.126646800984184e-06
2023-11-15,12:19:10,0.11,23.44,24.75,3291,15150976.0,6.189101910139218e-06
2023-11-15,12:19:10,0.1137,23.44,24.75,3291,15150975.0,6.216583691548774e-06
2023-11-15,12:19:10,0.1184,23.44,24.75,3292,15150975.0,6.224933245206769e-06
2023-11-15,12:19:10,0.1206,23.44,24.75,3292,15150980.0,6.0657545969431285e-06
2023-11-15,12:19:10,0.1243,23.44,24.75,3291,15150976.0,6.0614781318062795e-06
2023-11-15,12:19:10,0.1291,23.44,24.75,3290,15150974.0,6.16272089281497e-06
2023-11-15,12:19:10,0.1325,23.44,24.75,3290,15150980.0,5.939588495662886e-06
2023-11-15,12:19:10,0.1354,23.44,24.75,3290,15150977.0,5.9778201208920315e-06
2023-11-15,12:19:10,0.1401,23.44,24.75,3292,15150979.0,6.164620748137269e-06
2023-11-15,12:19:10,0.1433,23.44,24.75,3293,15150978.0,5.771936943358935e-06
2023-11-15,12:19:10,0.1477,23.44,24.75,3292,15150982.0,6.147539291319716e-06
2023-11-15,12:19:10,0.1509,23.44,24.75,3292,15150982.0,6.168543455249004e-06
2023-11-15,12:19:10,0.155,23.44,24.75,3291,15150975.0,6.095928878132233e-06
2023-11-15,12:19:10,0.1591,23.44,24.75,3290,15150977.0,5.909779838823973e-06
2023-11-15,12:19:10,0.1627,23.44,24.75,3291,15150977.0,6.057819707562562e-06
2023-11-15,12:19:10,0.1662,23.44,24.75,3292,15150982.0,5.817837166569057e-06
2023-11-15,12:19:10,0.1699,23.44,24.75,3292,15150981.0,6.171492693656028e-06
2023-11-15,12:19:10,0.1725,23.44,24.75,3291,15150976.0,5.89516428809818e-06
2023-11-15,12:19:10,0.1763,23.44,24.75,3291,15150979.0,5.96349700694102e-06
