Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2023-12-11,09:33:51,0.0059,22.69,25.25,3281,15036639.0,2.0060350672229828e-05
2023-12-11,09:33:51,0.0125,22.69,25.25,3282,15036640.0,2.00079955036544e-05
2023-12-11,09:33:51,0.0149,22.69,25.25,3281,15036642.0,2.0264798889416288e-05
2023-12-11,09:33:51,0.0201,22.69,25.25,3282,15036643.0,2.0171849287608207e-05
2023-12-11,09:33:51,0.0229,22.69,25.25,3283,15036639.0,2.0173205159992095e-05
2023-12-11,09:33:51,0.026,22.69,25.25,3282,15036644.0,2.0005199481783243e-05
2023-12-11,09:33:51,0.0299,22.69,25.25,3281,15036641.0,2.0148826205905575e-05
2023-12-11,09:33:51,0.0336,22.69,25.25,3282,15036642.0,2.0093222165256195e-05
2023-12-11,09:33:51,0.0386,22.69,25.25,3282,15036641.0,2.010123174578584e-05
2023-12-11,09:33:51,0.0411,22.69,25.25,3282,15036642.0,2.0136299358066908e-05
2023-12-11,09:33:51,0.046,22.69,25.25,3282,15036643.0,2.0183790567640875e-05
2023-12-11,09:33:51,0.0494,22.69,25.25,3281,15036643.0,2.005398394066822e-05
2023-12-11,09:33:51,0.0525,22.69,25.25,3285,15036646.0,2.007832379096896e-05
2023-12-11,09:33:51,0.0569,22.69,25.25,3286,15036641.0,2.0033231801932432e-05
2023-12-11,09:33:51,0.0608,22.69,25.25,3282,15036641.0,2.0184892626847104e-05
2023-12-11,09:33:51,0.0643,22.69,25.25,3281,15036641.0,2.019365590160752e-05
2023-12-11,09:33:51,0.0667,22.69,25.25,3282,15036645.0,2.0046020937443986e-05
2023-12-11,09:33:51,0.0716,22.69,25.25,3282,15036639.0,2.004106120265091e-05
2023-12-11,09:33:51,0.0769,22.69,25.25,3282,15036644.0,2.0006803121979623e-05
2023-12-11,09:33:51,0.0824,22.69,25.25,3282,15036640.0,2.0129754175652996e-05
2023-12-11,09:33:51,0.0868,22.69,25.25,3283,15036640.0,2.001758004218044e-05
