Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2023-12-11,09:36:09,0.0027,22.94,25.5,3309,15032398.0,4.418262781683041e-06
2023-12-11,09:36:09,0.0061,22.94,25.5,3308,15032403.0,4.402434417220004e-06
2023-12-11,09:36:09,0.011,22.94,25.5,3308,15032400.0,4.539850412288448e-06
2023-12-11,09:36:09,0.015,22.94,25.5,3308,15032401.0,4.4033223461178394e-06
2023-12-11,09:36:09,0.0173,22.94,25.5,3308,15032400.0,4.425623251599344e-06
2023-12-11,09:36:09,0.0242,22.94,25.5,3308,15032401.0,4.599609159090453e-06
2023-12-11,09:36:09,0.0283,22.94,25.5,3308,15032401.0,4.531074485924643e-06
2023-12-11,09:36:09,0.0321,22.94,25.5,3308,15032404.0,4.608248079804221e-06
2023-12-11,09:36:09,0.0358,22.94,25.5,3311,15032402.0,4.41549409330991e-06
2023-12-11,09:36:09,0.0396,22.94,25.5,3312,15032404.0,4.249920740186633e-06
2023-12-11,09:36:09,0.0441,22.94,25.5,3309,15032399.0,4.551222279599549e-06
2023-12-11,09:36:09,0.0479,22.94,25.5,3308,15032399.0,4.613295169186258e-06
2023-12-11,09:36:09,0.0507,22.94,25.5,3308,15032401.0,4.434105591248294e-06
2023-12-11,09:36:09,0.0557,22.94,25.5,3309,15032401.0,4.501819958144409e-06
2023-12-11,09:36:09,0.0593,22.94,25.5,3309,15032400.0,4.425499208807511e-06
2023-12-11,09:36:09,0.063,22.94,25.5,3308,15032402.0,4.5273804511707605e-06
2023-12-11,09:36:09,0.0653,22.94,25.5,3308,15032399.0,4.609542320797071e-06
2023-12-11,09:36:09,0.0706,22.94,25.5,3307,15032400.0,4.589482684045628e-06
2023-12-11,09:36:09,0.0738,22.94,25.5,3307,15032404.0,4.635987818911397e-06
2023-12-11,09:36:09,0.0772,22.94,25.5,3308,15032403.0,4.5078542398223625e-06
2023-12-11,09:36:09,0.08,22.94,25.5,3309,15032404.0,4.556621162337589e-06
2023-12-11,09:36:09,0.0845,22.94,25.5,3309,15032400.0,4.525026914752676e-06
2023-12-11,09:36:09,0.089,22.94,25.5,3308,15032401.0,4.573908119234337e-06
2023-12-11,09:36:09,0.0919,22.94,25.5,3309,15032402.0,4.451922354331145e-06
2023-12-11,09:36:09,0.099,22.94,25.5,3309,15032403.0,4.404169792302065e-06
2023-12-11,09:36:09,0.1028,22.94,25.5,3309,15032402.0,4.397890622358961e-06
2023-12-11,09:36:09,0.1066,22.94,25.5,3308,15032398.0,4.627514474175697e-06
2023-12-11,09:36:09,0.1103,22.94,25.5,3308,15032401.0,4.411402792514168e-06
2023-12-11,09:36:09,0.1136,22.94,25.5,3309,15032401.0,4.424649765939673e-06
2023-12-11,09:36:09,0.1179,22.94,25.5,3308,15032402.0,4.486120134480463e-06
2023-12-11,09:36:09,0.1214,22.94,25.5,3307,15032403.0,4.521473900999242e-06
2023-12-11,09:36:09,0.1245,22.94,25.5,3308,15032404.0,4.497047883624066e-06
2023-12-11,09:36:09,0.1282,22.94,25.5,3308,15032401.0,4.427783567871216e-06
2023-12-11,09:36:09,0.1335,22.94,25.5,3308,15032400.0,4.482681825762283e-06
2023-12-11,09:36:09,0.1358,22.94,25.5,3308,15032398.0,4.5510124123812096e-06
2023-12-11,09:36:09,0.1404,22.94,25.5,3309,15032402.0,4.6019619324584995e-06
2023-12-11,09:36:09,0.1432,22.94,25.5,3309,15032404.0,4.502712397583361e-06
2023-12-11,09:36:09,0.1475,22.94,25.5,3308,15032398.0,4.399477243783299e-06
2023-12-11,09:36:09,0.1513,22.94,25.5,3309,15032400.0,4.551624632493436e-06
2023-12-11,09:36:09,0.1551,22.94,25.5,3309,15032404.0,4.512004851214827e-06
2023-12-11,09:36:09,0.1579,22.94,25.5,3308,15032399.0,4.622051893375509e-06
2023-12-11,09:36:09,0.1628,22.94,25.5,3308,15032399.0,4.593084031832499e-06
2023-12-11,09:36:09,0.1696,22.94,25.5,3309,15032401.0,4.4158494731813645e-06
2023-12-11,09:36:09,0.173,22.94,25.5,3308,15032399.0,4.533066711241692e-06
2023-12-11,09:36:09,0.1774,22.94,25.5,3308,15032403.0,4.525105689457992e-06
2023-12-11,09:36:09,0.18,22.94,25.5,3308,15032401.0,4.443123675693356e-06
2023-12-11,09:36:09,0.1836,22.94,25.5,3308,15032405.0,4.395593281125635e-06
2023-12-11,09:36:09,0.1882,22.94,25.5,3308,15032401.0,4.6213552989837675e-06
2023-12-11,09:36:09,0.1918,22.94,25.5,3308,15032398.0,4.641285231642463e-06
2023-12-11,09:36:09,0.1948,22.94,25.5,3309,15032397.0,4.497602475633816e-06
2023-12-11,09:36:09,0.1988,22.94,25.5,3309,15032403.0,4.3682851633330735e-06
2023-12-11,09:36:09,0.2037,22.94,25.5,3309,15032402.0,4.42996931605211e-06
2023-12-11,09:36:09,0.2064,22.94,25.5,3309,15032399.0,4.583678609190583e-06
2023-12-11,09:36:10,0.2113,22.94,25.5,3309,15032404.0,4.564877837935415e-06
2023-12-11,09:36:10,0.2145,22.94,25.5,3308,15032401.0,4.63708818145519e-06
2023-12-11,09:36:10,0.2177,22.94,25.5,3307,15032402.0,4.443120976756066e-06
2023-12-11,09:36:10,0.2219,22.94,25.5,3307,15032402.0,4.600007912533812e-06
2023-12-11,09:36:10,0.2255,22.94,25.5,3307,15032402.0,4.68437674204696e-06
2023-12-11,09:36:10,0.2284,22.94,25.5,3307,15032401.0,4.670313658404828e-06
2023-12-11,09:36:10,0.2346,22.94,25.5,3308,15032402.0,4.630405630563419e-06
2023-12-11,09:36:10,0.2408,22.94,25.5,3307,15032402.0,4.585103483598298e-06
