Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2023-12-11,09:45:08,0.0138,23.19,24.75,3251,15032110.0,2.6948683082196662e-05
2023-12-11,09:45:08,0.017,23.19,24.75,3245,15032112.0,2.7246693203604473e-05
2023-12-11,09:45:08,0.0214,23.19,24.75,3244,15032112.0,2.729395778265897e-05
2023-12-11,09:45:08,0.025,23.19,24.75,3244,15032116.0,2.7222620232795883e-05
2023-12-11,09:45:08,0.0286,23.19,24.75,3245,15032118.0,2.7097368481495782e-05
2023-12-11,09:45:08,0.032,23.19,24.75,3245,15032116.0,2.7126407931110245e-05
2023-12-11,09:45:08,0.0351,23.19,24.75,3244,15032115.0,2.72899864726489e-05
2023-12-11,09:45:08,0.0391,23.19,24.75,3244,15032115.0,2.7159644902081785e-05
2023-12-11,09:45:08,0.0441,23.19,24.75,3244,15032116.0,2.724938897546637e-05
2023-12-11,09:45:08,0.0471,23.19,24.75,3244,15032114.0,2.7146304949881282e-05
2023-12-11,09:45:08,0.0509,23.19,24.75,3245,15032117.0,2.7062211357498787e-05
2023-12-11,09:45:08,0.055,23.19,24.75,3246,15032116.0,2.7024910914046603e-05
2023-12-11,09:45:08,0.0584,23.19,24.75,3246,15032118.0,2.7078951207054658e-05
2023-12-11,09:45:08,0.0623,23.19,24.75,3245,15032117.0,2.7144475505936085e-05
2023-12-11,09:45:08,0.0658,23.19,24.75,3246,15032115.0,2.698702785671644e-05
2023-12-11,09:45:08,0.069,23.19,24.75,3245,15032118.0,2.7037518882084423e-05
2023-12-11,09:45:08,0.0724,23.19,24.75,3244,15032117.0,2.7233649258352778e-05
2023-12-11,09:45:08,0.0756,23.19,24.75,3245,15032117.0,2.7135577148240644e-05
2023-12-11,09:45:08,0.0797,23.19,24.75,3245,15032115.0,2.714450305452785e-05
2023-12-11,09:45:08,0.0836,23.19,24.75,3245,15032115.0,2.71213566595858e-05
2023-12-11,09:45:08,0.0877,23.19,24.75,3245,15032116.0,2.7156001272149658e-05
2023-12-11,09:45:08,0.0904,23.19,24.75,3246,15032113.0,2.713035638550212e-05
2023-12-11,09:45:08,0.0944,23.19,24.75,3246,15032113.0,2.6999550690602904e-05
2023-12-11,09:45:08,0.0986,23.19,24.75,3245,15032113.0,2.714858687398908e-05
2023-12-11,09:45:08,0.1017,23.19,24.75,3245,15032117.0,2.721172905696327e-05
2023-12-11,09:45:08,0.1062,23.19,24.75,3246,15032112.0,2.712990909324306e-05
2023-12-11,09:45:09,0.109,23.19,24.75,3247,15032117.0,2.7090541985238387e-05
2023-12-11,09:45:09,0.1135,23.19,24.75,3246,15032117.0,2.7050615849105406e-05
2023-12-11,09:45:09,0.1173,23.19,24.75,3246,15032113.0,2.7136277028279405e-05
2023-12-11,09:45:09,0.124,23.19,24.75,3245,15032116.0,2.7211258270248674e-05
2023-12-11,09:45:09,0.1277,23.19,24.75,3246,15032116.0,2.7000070468980466e-05
2023-12-11,09:45:09,0.1309,23.19,24.75,3246,15032113.0,2.7027870799489066e-05
2023-12-11,09:45:09,0.1358,23.19,24.75,3245,15032116.0,2.7033343969781416e-05
2023-12-11,09:45:09,0.1395,23.19,24.75,3245,15032113.0,2.7054332946669823e-05
2023-12-11,09:45:09,0.1418,23.19,24.75,3246,15032112.0,2.716993068970322e-05
2023-12-11,09:45:09,0.1463,23.19,24.75,3246,15032114.0,2.7104690350468827e-05
2023-12-11,09:45:09,0.1494,23.19,24.75,3246,15032116.0,2.698907515042563e-05
2023-12-11,09:45:09,0.1534,23.19,24.75,3247,15032116.0,2.6971211570886895e-05
2023-12-11,09:45:09,0.157,23.19,24.75,3246,15032114.0,2.7181164666936004e-05
2023-12-11,09:45:09,0.1606,23.19,24.75,3245,15032114.0,2.71102972984118e-05
2023-12-11,09:45:09,0.1683,23.19,24.75,3248,15032114.0,2.703811575514034e-05
2023-12-11,09:45:09,0.1711,23.19,24.75,3247,15032112.0,2.7092019705957715e-05
2023-12-11,09:45:09,0.1764,23.19,24.75,3247,15032115.0,2.7137878383229425e-05
2023-12-11,09:45:09,0.1792,23.19,24.75,3247,15032115.0,2.7017810443970976e-05
2023-12-11,09:45:09,0.1829,23.19,24.75,3247,15032116.0,2.7121846479502967e-05
2023-12-11,09:45:09,0.1871,23.19,24.75,3249,15032112.0,2.6913839920829195e-05
2023-12-11,09:45:09,0.1908,23.19,24.75,3250,15032116.0,2.6969050475462696e-05
2023-12-11,09:45:09,0.1948,23.19,24.75,3249,15032113.0,2.6909626837098723e-05
2023-12-11,09:45:09,0.1972,23.19,24.75,3249,15032116.0,2.7058385406927378e-05
2023-12-11,09:45:09,0.2014,23.19,24.75,3249,15032113.0,2.701314574464836e-05
2023-12-11,09:45:09,0.205,23.19,24.75,3249,15032114.0,2.698153627822502e-05
2023-12-11,09:45:09,0.2119,23.19,24.75,3250,15032116.0,2.6967055126737452e-05
2023-12-11,09:45:09,0.2161,23.19,24.75,3250,15032117.0,2.6993911507900877e-05
2023-12-11,09:45:09,0.2205,23.19,24.75,3249,15032117.0,2.6959938927266832e-05
2023-12-11,09:45:09,0.2228,23.19,24.75,3250,15032115.0,2.6822845712282047e-05
2023-12-11,09:45:09,0.2279,23.19,24.75,3251,15032114.0,2.6865518141160705e-05
2023-12-11,09:45:09,0.2319,23.19,24.75,3251,15032116.0,2.693302824381477e-05
2023-12-11,09:45:09,0.2346,23.19,24.75,3251,15032115.0,2.6965752103771037e-05
2023-12-11,09:45:09,0.2389,23.19,24.75,3251,15032116.0,2.6922701670927938e-05
2023-12-11,09:45:09,0.2428,23.19,24.75,3251,15032117.0,2.6756576367015166e-05
2023-12-11,09:45:09,0.2464,23.19,24.75,3250,15032114.0,2.6990717407533554e-05
2023-12-11,09:45:09,0.2501,23.19,24.75,3250,15032119.0,2.69246593770212e-05
2023-12-11,09:45:09,0.2554,23.19,24.75,3251,15032118.0,2.6877325475876313e-05
2023-12-11,09:45:09,0.2605,23.19,24.75,3252,15032115.0,2.691938589270579e-05
2023-12-11,09:45:09,0.2638,23.19,24.75,3253,15032117.0,2.6752538877068247e-05
2023-12-11,09:45:09,0.2671,23.19,24.75,3253,15032116.0,2.682217584238589e-05
2023-12-11,09:45:09,0.2709,23.19,24.75,3253,15032118.0,2.6720967493775004e-05
2023-12-11,09:45:09,0.2745,23.19,24.75,3253,15032115.0,2.678796062590833e-05
2023-12-11,09:45:09,0.2793,23.19,24.75,3253,15032115.0,2.676776964299704e-05
