Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2023-12-11,10:23:53,0.0038,23.38,25.0,3310,15029448.0,2.677253989587683e-06
2023-12-11,10:23:53,0.008,23.38,25.0,3310,15029448.0,2.7641622762769752e-06
2023-12-11,10:23:53,0.0115,23.38,25.0,3310,15029447.0,2.689085440759234e-06
2023-12-11,10:23:53,0.0143,23.38,25.0,3310,15029447.0,2.7214980810245316e-06
2023-12-11,10:23:53,0.0196,23.38,25.0,3310,15029446.0,2.70887119711439e-06
2023-12-11,10:23:53,0.022,23.38,25.0,3310,15029448.0,2.7945918998939283e-06
2023-12-11,10:23:53,0.0267,23.38,25.0,3309,15029448.0,2.7695253379570886e-06
2023-12-11,10:23:53,0.03,23.38,25.0,3309,15029447.0,2.717841182498246e-06
2023-12-11,10:23:53,0.0334,23.38,25.0,3310,15029449.0,2.80257917294323e-06
2023-12-11,10:23:53,0.0374,23.38,25.0,3310,15029448.0,2.805764144122757e-06
2023-12-11,10:23:53,0.0413,23.38,25.0,3311,15029448.0,2.664828226664307e-06
2023-12-11,10:23:53,0.0455,23.38,25.0,3311,15029447.0,2.6919202739609404e-06
2023-12-11,10:23:53,0.0484,23.38,25.0,3309,15029449.0,2.79240407107548e-06
2023-12-11,10:23:53,0.0517,23.38,25.0,3310,15029447.0,2.757660182627323e-06
2023-12-11,10:23:53,0.0555,23.38,25.0,3310,15029448.0,2.7166990604455386e-06
2023-12-11,10:23:53,0.06,23.38,25.0,3310,15029447.0,2.7883468850254417e-06
2023-12-11,10:23:53,0.0643,23.38,25.0,3311,15029449.0,2.7474307563688307e-06
2023-12-11,10:23:53,0.0675,23.38,25.0,3310,15029447.0,2.7098959490120792e-06
2023-12-11,10:23:53,0.0705,23.38,25.0,3310,15029448.0,2.7153181055639003e-06
2023-12-11,10:23:53,0.0746,23.38,25.0,3309,15029450.0,2.7636377004324837e-06
2023-12-11,10:23:53,0.0774,23.38,25.0,3308,15029448.0,2.79280269219203e-06
2023-12-11,10:23:53,0.0817,23.38,25.0,3309,15029449.0,2.837884299715065e-06
2023-12-11,10:23:53,0.0863,23.38,25.0,3310,15029446.0,2.8019775073944178e-06
2023-12-11,10:23:53,0.0899,23.38,25.0,3311,15029447.0,2.6996081027738327e-06
2023-12-11,10:23:53,0.0928,23.38,25.0,3310,15029447.0,2.720523891551284e-06
2023-12-11,10:23:53,0.097,23.38,25.0,3309,15029446.0,2.8360287429172083e-06
2023-12-11,10:23:53,0.0998,23.38,25.0,3309,15029449.0,2.714415914409613e-06
2023-12-11,10:23:53,0.1047,23.38,25.0,3309,15029448.0,2.8430693589065717e-06
2023-12-11,10:23:53,0.1077,23.38,25.0,3309,15029449.0,2.7391443047925793e-06
2023-12-11,10:23:53,0.1121,23.38,25.0,3308,15029449.0,2.810963420051088e-06
2023-12-11,10:23:53,0.1145,23.38,25.0,3309,15029448.0,2.7528002933343064e-06
2023-12-11,10:23:53,0.1191,23.38,25.0,3310,15029447.0,2.6891202954066646e-06
2023-12-11,10:23:53,0.1234,23.38,25.0,3310,15029447.0,2.747777001407928e-06
