Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2023-12-11,10:43:41,0.0042,23.62,25.75,3231,15029814.0,5.38659536419465e-05
2023-12-11,10:43:41,0.0075,23.62,25.75,3231,15029816.0,5.3726461373717416e-05
2023-12-11,10:43:41,0.0111,23.62,25.75,3231,15029816.0,5.370375163103196e-05
2023-12-11,10:43:41,0.0147,23.62,25.75,3230,15029815.0,5.38556335322008e-05
2023-12-11,10:43:41,0.0182,23.62,25.75,3231,15029817.0,5.38715140698174e-05
2023-12-11,10:43:41,0.0217,23.62,25.75,3232,15029817.0,5.3643188235704714e-05
2023-12-11,10:43:41,0.0253,23.62,25.75,3231,15029813.0,5.375216625627553e-05
2023-12-11,10:43:41,0.0291,23.62,25.75,3231,15029816.0,5.3790401521059746e-05
2023-12-11,10:43:41,0.0334,23.62,25.75,3232,15029815.0,5.383453690937054e-05
2023-12-11,10:43:41,0.0365,23.62,25.75,3232,15029816.0,5.377259180582566e-05
2023-12-11,10:43:41,0.0413,23.62,25.75,3232,15029815.0,5.3701282208910123e-05
2023-12-11,10:43:41,0.0443,23.62,25.75,3232,15029814.0,5.3720994066118836e-05
2023-12-11,10:43:41,0.0477,23.62,25.75,3231,15029813.0,5.378211199711575e-05
2023-12-11,10:43:41,0.0506,23.62,25.75,3232,15029817.0,5.3689569847786803e-05
2023-12-11,10:43:41,0.0558,23.62,25.75,3232,15029814.0,5.362830507247762e-05
2023-12-11,10:43:41,0.058,23.62,25.75,3232,15029815.0,5.375271329572334e-05
2023-12-11,10:43:41,0.0624,23.62,25.75,3232,15029816.0,5.3651598201910355e-05
2023-12-11,10:43:41,0.0654,23.62,25.75,3231,15029818.0,5.369666823167507e-05
2023-12-11,10:43:41,0.0705,23.62,25.75,3231,15029817.0,5.385703424302971e-05
2023-12-11,10:43:41,0.0729,23.62,25.75,3230,15029813.0,5.390563821185544e-05
2023-12-11,10:43:41,0.0763,23.62,25.75,3231,15029817.0,5.3684499208175573e-05
2023-12-11,10:43:41,0.0804,23.62,25.75,3232,15029818.0,5.3649563691071374e-05
2023-12-11,10:43:41,0.0844,23.62,25.75,3231,15029813.0,5.376073886692848e-05
2023-12-11,10:43:41,0.088,23.62,25.75,3231,15029814.0,5.3801887364868436e-05
2023-12-11,10:43:41,0.0914,23.62,25.75,3232,15029814.0,5.3661010586365735e-05
2023-12-11,10:43:41,0.0947,23.62,25.75,3232,15029818.0,5.364205889141347e-05
2023-12-11,10:43:41,0.0993,23.62,25.75,3231,15029815.0,5.3749273001784085e-05
2023-12-11,10:43:41,0.1027,23.62,25.75,3231,15029818.0,5.378111067190916e-05
2023-12-11,10:43:41,0.1066,23.62,25.75,3232,15029816.0,5.381652007816536e-05
2023-12-11,10:43:41,0.1106,23.62,25.75,3232,15029817.0,5.378354897865012e-05
2023-12-11,10:43:42,0.1142,23.62,25.75,3231,15029818.0,5.378690811197354e-05
2023-12-11,10:43:42,0.1172,23.62,25.75,3231,15029818.0,5.38070386435527e-05
2023-12-11,10:43:42,0.1207,23.62,25.75,3231,15029818.0,5.367599982209952e-05
2023-12-11,10:43:42,0.1239,23.62,25.75,3230,15029815.0,5.376278461854991e-05
2023-12-11,10:43:42,0.1291,23.62,25.75,3230,15029816.0,5.3792144701121015e-05
2023-12-11,10:43:42,0.133,23.62,25.75,3231,15029814.0,5.389932246599195e-05
2023-12-11,10:43:42,0.1359,23.62,25.75,3231,15029818.0,5.389678125544117e-05
2023-12-11,10:43:42,0.1387,23.62,25.75,3231,15029814.0,5.376185085813787e-05
2023-12-11,10:43:42,0.1433,23.62,25.75,3231,15029818.0,5.389194874142557e-05
2023-12-11,10:43:42,0.1471,23.62,25.75,3230,15029813.0,5.372533173926557e-05
2023-12-11,10:43:42,0.1512,23.62,25.75,3232,15029817.0,5.382672311712305e-05
2023-12-11,10:43:42,0.1538,23.62,25.75,3234,15029815.0,5.370942203528451e-05
2023-12-11,10:43:42,0.1578,23.62,25.75,3233,15029814.0,5.361506567334248e-05
2023-12-11,10:43:42,0.1613,23.62,25.75,3234,15029816.0,5.375077930536165e-05
2023-12-11,10:43:42,0.1645,23.62,25.75,3233,15029814.0,5.370841929349278e-05
2023-12-11,10:43:42,0.1694,23.62,25.75,3231,15029818.0,5.378575708791594e-05
2023-12-11,10:43:42,0.1727,23.62,25.75,3232,15029816.0,5.382381206209508e-05
2023-12-11,10:43:42,0.1755,23.62,25.75,3233,15029816.0,5.359796135360048e-05
2023-12-11,10:43:42,0.1794,23.62,25.75,3232,15029818.0,5.36259961872214e-05
2023-12-11,10:43:42,0.1841,23.62,25.75,3231,15029816.0,5.373166709617998e-05
2023-12-11,10:43:42,0.1881,23.62,25.75,3232,15029817.0,5.3744730921510714e-05
2023-12-11,10:43:42,0.1906,23.62,25.75,3233,15029818.0,5.373308459330951e-05
