Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2023-06-27,12:57:12,0.002,27.44,21.5,2986,15092017.0,2.1604655074057727e-05
2023-06-27,12:57:12,0.0048,27.44,21.5,2987,15092009.0,2.1588573053771994e-05
2023-06-27,12:57:12,0.0083,27.44,21.5,2987,15092007.0,2.148733640594819e-05
2023-06-27,12:57:12,0.012,27.44,21.5,2986,15092010.0,2.1722888165063752e-05
2023-06-27,12:57:12,0.0175,27.44,21.5,2987,15092015.0,2.1621401324619884e-05
2023-06-27,12:57:12,0.0203,27.44,21.5,2987,15092011.0,2.1556235086073954e-05
2023-06-27,12:57:12,0.0246,27.44,21.5,2985,15092008.0,2.1824516947676173e-05
2023-06-27,12:57:12,0.0284,27.44,21.5,2986,15092005.0,2.158247313803955e-05
2023-06-27,12:57:12,0.0316,27.44,21.5,2987,15092008.0,2.1642349436040505e-05
2023-06-27,12:57:12,0.0347,27.44,21.5,2988,15092010.0,2.1609202566116552e-05
2023-06-27,12:57:12,0.0389,27.44,21.5,2988,15092011.0,2.142510003981578e-05
2023-06-27,12:57:12,0.0434,27.44,21.5,2987,15092014.0,2.1652638089474425e-05
2023-06-27,12:57:12,0.0465,27.44,21.5,2987,15092013.0,2.1562404457118098e-05
2023-06-27,12:57:12,0.0513,27.44,21.5,2987,15092008.0,2.158113037143988e-05
2023-06-27,12:57:12,0.0537,27.44,21.5,2987,15092015.0,2.1714870678242377e-05
2023-06-27,12:57:12,0.059,27.44,21.5,2987,15092015.0,2.155843227594968e-05
2023-06-27,12:57:12,0.0624,27.44,21.5,2988,15092012.0,2.1527107268142034e-05
2023-06-27,12:57:12,0.0657,27.44,21.5,2988,15092013.0,2.1558874444055068e-05
2023-06-27,12:57:12,0.0689,27.44,21.5,2988,15092016.0,2.1449667084212628e-05
2023-06-27,12:57:12,0.0732,27.44,21.5,2988,15092008.0,2.1556314506471933e-05
2023-06-27,12:57:12,0.0769,27.44,21.5,2987,15092008.0,2.1704123406055856e-05
2023-06-27,12:57:12,0.0815,27.44,21.5,2986,15092016.0,2.158181917159472e-05
2023-06-27,12:57:12,0.084,27.44,21.5,2986,15092016.0,2.1590699258047873e-05
2023-06-27,12:57:12,0.0885,27.44,21.5,2987,15092014.0,2.152026885341955e-05
2023-06-27,12:57:12,0.0918,27.44,21.5,2987,15092013.0,2.158130257500273e-05
2023-06-27,12:57:12,0.0965,27.44,21.5,2986,15092014.0,2.160785313449643e-05
2023-06-27,12:57:12,0.0987,27.44,21.5,2986,15092015.0,2.1579213021728808e-05
2023-06-27,12:57:12,0.1032,27.44,21.5,2986,15092014.0,2.165099215937888e-05
2023-06-27,12:57:12,0.108,27.44,21.5,2986,15092012.0,2.1604537722570252e-05
2023-06-27,12:57:12,0.1102,27.44,21.5,2987,15092010.0,2.150615572126351e-05
2023-06-27,12:57:12,0.1154,27.44,21.5,2987,15092016.0,2.1689989589379993e-05
2023-06-27,12:57:12,0.1184,27.44,21.5,2986,15092017.0,2.168407852321565e-05
2023-06-27,12:57:12,0.1227,27.44,21.5,2986,15092014.0,2.175963029776931e-05
2023-06-27,12:57:12,0.1263,27.44,21.5,2987,15092010.0,2.1596725302163904e-05
