Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2023-10-11,09:47:36,0.0041,27.38,24.75,3260,14986211.0,8.038297040399249e-06
2023-10-11,09:47:36,0.0075,27.38,24.75,3259,14986211.0,7.946629501428965e-06
2023-10-11,09:47:36,0.0112,27.38,24.75,3259,14986199.0,8.006332311317133e-06
2023-10-11,09:47:36,0.0171,27.38,24.75,3259,14986209.0,8.044334956110272e-06
2023-10-11,09:47:36,0.0212,27.38,24.75,3258,14986208.0,8.009867417394412e-06
2023-10-11,09:47:36,0.025,27.38,24.75,3260,14986204.0,8.144412611200715e-06
2023-10-11,09:47:36,0.0304,27.38,24.75,3259,14986200.0,8.332496654429201e-06
2023-10-11,09:47:36,0.0359,27.38,24.75,3258,14986201.0,8.388190585587429e-06
2023-10-11,09:47:36,0.0393,27.38,24.75,3259,14986200.0,8.185517557132184e-06
2023-10-11,09:47:36,0.0429,27.38,24.75,3259,14986199.0,7.886330392167384e-06
2023-10-11,09:47:36,0.0466,27.38,24.75,3258,14986203.0,8.06125796229965e-06
2023-10-11,09:47:36,0.0548,27.38,24.75,3258,14986211.0,8.218745239221254e-06
2023-10-11,09:47:36,0.0574,27.38,24.75,3257,14986207.0,8.231773449111066e-06
2023-10-11,09:47:36,0.0613,27.38,24.75,3257,14986206.0,8.239533659144797e-06
2023-10-11,09:47:36,0.0695,27.38,24.75,3258,14986207.0,7.964136673278427e-06
2023-10-11,09:47:36,0.0736,27.38,24.75,3258,14986210.0,8.026454271689078e-06
2023-10-11,09:47:36,0.0763,27.38,24.75,3258,14986205.0,8.054769416743019e-06
2023-10-11,09:47:36,0.0797,27.38,24.75,3258,14986207.0,8.309169686517041e-06
2023-10-11,09:47:36,0.0868,27.38,24.75,3258,14986198.0,8.073649421118692e-06
2023-10-11,09:47:36,0.092,27.38,24.75,3259,14986210.0,8.088072273291048e-06
2023-10-11,09:47:36,0.0953,27.38,24.75,3259,14986200.0,8.237075710125895e-06
2023-10-11,09:47:36,0.1013,27.38,24.75,3258,14986198.0,8.286237617224664e-06
2023-10-11,09:47:36,0.1063,27.38,24.75,3258,14986203.0,8.192260747589192e-06
2023-10-11,09:47:36,0.1115,27.38,24.75,3258,14986211.0,8.08081372563011e-06
2023-10-11,09:47:36,0.1163,27.38,24.75,3259,14986209.0,7.84047774492041e-06
2023-10-11,09:47:36,0.1205,27.38,24.75,3258,14986209.0,8.030085704177346e-06
2023-10-11,09:47:36,0.1236,27.38,24.75,3259,14986200.0,8.11597560485696e-06
2023-10-11,09:47:36,0.1281,27.38,24.75,3260,14986210.0,7.899217301835116e-06
2023-10-11,09:47:36,0.1351,27.38,24.75,3258,14986202.0,8.02578914750248e-06
2023-10-11,09:47:36,0.1391,27.38,24.75,3258,14986200.0,8.263486215472325e-06
2023-10-11,09:47:36,0.1427,27.38,24.75,3259,14986201.0,8.012008628989222e-06
2023-10-11,09:47:36,0.1493,27.38,24.75,3257,14986201.0,7.951320597852184e-06
2023-10-11,09:47:36,0.1526,27.38,24.75,3258,14986198.0,8.376758927395973e-06
2023-10-11,09:47:36,0.1562,27.38,24.75,3258,14986195.0,8.083309181719937e-06
2023-10-11,09:47:36,0.1606,27.38,24.75,3258,14986199.0,8.141545477506458e-06
2023-10-11,09:47:37,0.1677,27.38,24.75,3258,14986202.0,8.009098637496394e-06
2023-10-11,09:47:37,0.1711,27.38,24.75,3258,14986206.0,8.287609934583499e-06
2023-10-11,09:47:37,0.1767,27.38,24.75,3258,14986204.0,8.081497294820716e-06
2023-10-11,09:47:37,0.1819,27.38,24.75,3259,14986205.0,8.010634161596558e-06
2023-10-11,09:47:37,0.1866,27.38,24.75,3258,14986199.0,8.145894512397658e-06
2023-10-11,09:47:37,0.19,27.38,24.75,3258,14986204.0,8.003818010791556e-06
2023-10-11,09:47:37,0.1941,27.38,24.75,3259,14986204.0,7.880439172554723e-06
2023-10-11,09:47:37,0.2016,27.38,24.75,3258,14986207.0,8.388237457889206e-06
2023-10-11,09:47:37,0.2052,27.38,24.75,3259,14986207.0,7.915467028659479e-06
2023-10-11,09:47:37,0.2082,27.38,24.75,3259,14986200.0,8.35050863549284e-06
2023-10-11,09:47:37,0.2163,27.38,24.75,3258,14986199.0,8.323490435497148e-06
2023-10-11,09:47:37,0.2195,27.38,24.75,3259,14986208.0,8.272022034260462e-06
2023-10-11,09:47:37,0.2221,27.38,24.75,3259,14986202.0,7.856292394018253e-06
2023-10-11,09:47:37,0.2262,27.38,24.75,3259,14986199.0,8.143597131298207e-06
2023-10-11,09:47:37,0.234,27.38,24.75,3259,14986201.0,7.967907000430121e-06
2023-10-11,09:47:37,0.2381,27.38,24.75,3259,14986202.0,7.997765227596512e-06
2023-10-11,09:47:37,0.2404,27.38,24.75,3259,14986207.0,8.034059759309663e-06
2023-10-11,09:47:37,0.2487,27.38,24.75,3258,14986201.0,8.223489580943644e-06
2023-10-11,09:47:37,0.2514,27.38,24.75,3257,14986211.0,8.128549606587913e-06
2023-10-11,09:47:37,0.2551,27.38,24.75,3258,14986207.0,8.149350249457898e-06
2023-10-11,09:47:37,0.2615,27.38,24.75,3258,14986203.0,8.056366374327078e-06
2023-10-11,09:47:37,0.2667,27.38,24.75,3259,14986200.0,8.221247389927706e-06
2023-10-11,09:47:37,0.2703,27.38,24.75,3259,14986208.0,8.163286228002818e-06
2023-10-11,09:47:37,0.2762,27.38,24.75,3258,14986209.0,8.288158100573793e-06
2023-10-11,09:47:37,0.2818,27.38,24.75,3258,14986210.0,7.904478187154073e-06
2023-10-11,09:47:37,0.2843,27.38,24.75,3258,14986204.0,8.061309914822339e-06
2023-10-11,09:47:37,0.2894,27.38,24.75,3258,14986206.0,8.08660933094427e-06
2023-10-11,09:47:37,0.2915,27.38,24.75,3258,14986203.0,8.283985356653776e-06
2023-10-11,09:47:37,0.2996,27.38,24.75,3260,14986205.0,7.882782329873044e-06
2023-10-11,09:47:37,0.3034,27.38,24.75,3269,14986201.0,7.836100183888504e-06
2023-10-11,09:47:37,0.3087,27.38,24.75,3269,14986203.0,7.838836981352912e-06
2023-10-11,09:47:37,0.3147,27.38,24.75,3258,14986200.0,8.340834465329797e-06
2023-10-11,09:47:37,0.3172,27.38,24.75,3258,14986204.0,8.150459688435574e-06
2023-10-11,09:47:37,0.3219,27.38,24.75,3258,14986206.0,8.051091102102273e-06
2023-10-11,09:47:37,0.3271,27.38,24.75,3258,14986211.0,8.227146538629898e-06
2023-10-11,09:47:37,0.3332,27.38,24.75,3258,14986204.0,8.149523168805969e-06
2023-10-11,09:47:37,0.3357,27.38,24.75,3257,14986210.0,8.009724671558684e-06
2023-10-11,09:47:37,0.3423,27.38,24.75,3257,14986202.0,8.219782153068174e-06
2023-10-11,09:47:37,0.3466,27.38,24.75,3259,14986199.0,8.314718402417025e-06
2023-10-11,09:47:37,0.3507,27.38,24.75,3259,14986208.0,7.833000548276649e-06
2023-10-11,09:47:37,0.3545,27.38,24.75,3259,14986208.0,7.861146260489415e-06
2023-10-11,09:47:37,0.3583,27.38,24.75,3259,14986209.0,8.243889686517728e-06
2023-10-11,09:47:37,0.366,27.31,25.0,3258,14986207.0,7.901847346796901e-06
2023-10-11,09:47:37,0.3696,27.31,25.0,3258,14986200.0,8.24281318715056e-06
2023-10-11,09:47:37,0.3719,27.31,25.0,3258,14986205.0,8.010876762224955e-06
2023-10-11,09:47:37,0.3807,27.31,25.0,3259,14986209.0,8.130015019737854e-06
2023-10-11,09:47:37,0.3837,27.31,25.0,3259,14986209.0,7.939150825873705e-06
2023-10-11,09:47:37,0.3873,27.31,25.0,3259,14986199.0,8.006728060204561e-06
2023-10-11,09:47:37,0.3929,27.31,25.0,3259,14986204.0,8.089648085078384e-06
2023-10-11,09:47:37,0.3975,27.31,25.0,3258,14986207.0,7.955415237435737e-06
2023-10-11,09:47:37,0.402,27.31,25.0,3258,14986210.0,8.209936850424524e-06
2023-10-11,09:47:37,0.408,27.31,25.0,3259,14986203.0,8.128173154550696e-06
2023-10-11,09:47:37,0.4124,27.31,25.0,3257,14986202.0,8.077710729415022e-06
2023-10-11,09:47:37,0.4171,27.31,25.0,3258,14986201.0,8.175485112204585e-06
2023-10-11,09:47:37,0.4224,27.31,25.0,3259,14986211.0,7.862315249720853e-06
2023-10-11,09:47:37,0.4268,27.31,25.0,3257,14986207.0,8.141739968936752e-06
2023-10-11,09:47:37,0.4312,27.31,25.0,3259,14986203.0,7.935825841214124e-06
2023-10-11,09:47:37,0.4353,27.31,25.0,3260,14986201.0,7.89566992407129e-06
2023-10-11,09:47:37,0.4376,27.31,25.0,3259,14986200.0,7.889252121518258e-06
2023-10-11,09:47:37,0.4452,27.31,25.0,3258,14986200.0,8.105455155844439e-06
2023-10-11,09:47:37,0.4496,27.31,25.0,3260,14986210.0,7.939732958995594e-06
2023-10-11,09:47:37,0.4532,27.31,25.0,3258,14986208.0,8.098726340171644e-06
2023-10-11,09:47:37,0.4608,27.31,25.0,3258,14986209.0,7.98362429110346e-06
2023-10-11,09:47:37,0.4636,27.31,25.0,3258,14986200.0,8.093083989592672e-06
2023-10-11,09:47:37,0.4671,27.31,25.0,3257,14986207.0,8.361908873666762e-06
2023-10-11,09:47:37,0.4709,27.31,25.0,3258,14986200.0,8.211909105504386e-06
2023-10-11,09:47:37,0.4779,27.31,25.0,3258,14986201.0,8.161489873424413e-06
2023-10-11,09:47:37,0.4816,27.31,25.0,3258,14986201.0,8.08472801723714e-06
2023-10-11,09:47:37,0.4864,27.31,25.0,3259,14986210.0,8.099669636382242e-06
2023-10-11,09:47:37,0.4928,27.31,25.0,3258,14986209.0,8.37198918049756e-06
2023-10-11,09:47:37,0.4975,27.31,25.0,3259,14986204.0,8.080159669010458e-06
2023-10-11,09:47:37,0.5002,27.31,25.0,3259,14986200.0,8.327899809713166e-06
2023-10-11,09:47:37,0.5062,27.31,25.0,3258,14986210.0,7.995803819613942e-06
2023-10-11,09:47:37,0.5112,27.31,25.0,3259,14986209.0,8.283961020555249e-06
2023-10-11,09:47:37,0.516,27.31,25.0,3258,14986199.0,8.091840059881318e-06
2023-10-11,09:47:37,0.5214,27.31,25.0,3259,14986200.0,7.895470675093862e-06
2023-10-11,09:47:37,0.5261,27.31,25.0,3258,14986199.0,8.297307600611412e-06
2023-10-11,09:47:37,0.53,27.31,25.0,3258,14986199.0,8.403380837968313e-06
2023-10-11,09:47:37,0.5325,27.31,25.0,3259,14986208.0,8.069495511795522e-06
2023-10-11,09:47:37,0.5364,27.31,25.0,3260,14986201.0,8.211525314639927e-06
2023-10-11,09:47:37,0.5441,27.31,25.0,3259,14986209.0,8.300811592622562e-06
2023-10-11,09:47:37,0.5486,27.31,25.0,3260,14986208.0,8.250410538407047e-06
2023-10-11,09:47:37,0.554,27.31,25.0,3259,14986210.0,8.249760020621563e-06
2023-10-11,09:47:37,0.5593,27.31,25.0,3260,14986199.0,7.808125661444765e-06
2023-10-11,09:47:37,0.5634,27.31,25.0,3259,14986206.0,8.353109303033858e-06
2023-10-11,09:47:37,0.5669,27.31,25.0,3258,14986210.0,8.091595415725145e-06
2023-10-11,09:47:37,0.5696,27.31,25.0,3259,14986201.0,8.087061604599222e-06
2023-10-11,09:47:37,0.5773,27.31,25.0,3259,14986206.0,8.163117724935382e-06
2023-10-11,09:47:37,0.5817,27.31,25.0,3259,14986199.0,7.872525025042024e-06
2023-10-11,09:47:37,0.5847,27.31,25.0,3259,14986204.0,8.283706905223394e-06
2023-10-11,09:47:37,0.5915,27.31,25.0,3259,14986204.0,8.057472536975147e-06
2023-10-11,09:47:37,0.5962,27.31,25.0,3259,14986200.0,8.176504261595624e-06
2023-10-11,09:47:37,0.5995,27.31,25.0,3258,14986208.0,8.305464138739863e-06
2023-10-11,09:47:37,0.6036,27.31,25.0,3258,14986208.0,8.20549067348471e-06
2023-10-11,09:47:37,0.6102,27.31,25.0,3259,14986205.0,8.120949930376877e-06
2023-10-11,09:47:37,0.6143,27.31,25.0,3260,14986209.0,8.014573560920223e-06
