Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2023-10-11,09:57:48,0.0033,27.5,24.75,3378,15081520.0,7.053663664827029e-06
2023-10-11,09:57:48,0.0057,27.5,24.75,3378,15081521.0,7.08964890847637e-06
2023-10-11,09:57:48,0.0097,27.5,24.75,3386,15081520.0,6.794725568982581e-06
2023-10-11,09:57:48,0.0174,27.5,24.75,3378,15081522.0,6.889330422658763e-06
2023-10-11,09:57:48,0.0212,27.5,24.75,3379,15081524.0,6.906783526798278e-06
2023-10-11,09:57:48,0.0239,27.5,24.75,3379,15081524.0,6.847060691537134e-06
2023-10-11,09:57:48,0.0296,27.5,24.75,3379,15081522.0,6.923257386345887e-06
2023-10-11,09:57:48,0.0363,27.5,24.75,3379,15081518.0,6.898076708582957e-06
2023-10-11,09:57:48,0.0397,27.5,24.75,3378,15081523.0,7.0330425763454375e-06
2023-10-11,09:57:48,0.0432,27.5,24.75,3379,15081522.0,7.095451662694671e-06
2023-10-11,09:57:48,0.0463,27.5,24.75,3380,15081521.0,6.8237257923052715e-06
2023-10-11,09:57:48,0.0535,27.5,24.75,3379,15081521.0,6.844877227480736e-06
2023-10-11,09:57:48,0.0585,27.5,24.75,3378,15081520.0,6.9482315046719315e-06
2023-10-11,09:57:48,0.0619,27.5,24.75,3379,15081521.0,6.988507531895918e-06
2023-10-11,09:57:48,0.0653,27.5,24.75,3380,15081520.0,7.021004641629303e-06
2023-10-11,09:57:48,0.072,27.5,24.75,3379,15081520.0,7.079324808965155e-06
2023-10-11,09:57:48,0.0761,27.5,24.75,3379,15081521.0,7.0295883378828175e-06
2023-10-11,09:57:48,0.0804,27.5,24.75,3379,15081524.0,7.016947964068884e-06
2023-10-11,09:57:48,0.087,27.5,24.75,3379,15081521.0,7.098422064191459e-06
2023-10-11,09:57:48,0.0911,27.5,24.75,3380,15081521.0,6.955916674941197e-06
