Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2023-12-22,12:54:05,0.0038,36.56,24.75,3309,14942524.0,4.3403357923898966e-05
2023-12-22,12:54:05,0.0099,36.56,24.75,3309,14942525.0,4.347277082804795e-05
2023-12-22,12:54:05,0.0124,36.56,24.75,3309,14942524.0,4.3464896781136535e-05
2023-12-22,12:54:05,0.0213,36.56,24.75,3309,14942525.0,4.347907752795565e-05
2023-12-22,12:54:05,0.0261,36.56,24.75,3309,14942524.0,4.347237552374959e-05
2023-12-22,12:54:05,0.0309,36.56,24.75,3309,14942526.0,4.347395339470426e-05
2023-12-22,12:54:05,0.0331,36.56,24.75,3309,14942525.0,4.347930797279067e-05
2023-12-22,12:54:05,0.0378,36.56,24.75,3309,14942525.0,4.3414900926897465e-05
2023-12-22,12:54:05,0.0433,36.56,24.75,3309,14942524.0,4.342438030555107e-05
2023-12-22,12:54:05,0.0458,36.56,24.75,3309,14942526.0,4.346992956329763e-05
2023-12-22,12:54:05,0.0518,36.56,24.75,3309,14942525.0,4.3435007908632306e-05
2023-12-22,12:54:05,0.0598,36.56,24.75,3309,14942524.0,4.346854730668003e-05
2023-12-22,12:54:05,0.0675,36.56,24.75,3307,14942527.0,4.350395589923567e-05
2023-12-22,12:54:05,0.0772,36.56,24.75,3307,14942526.0,4.350214855896716e-05
2023-12-22,12:54:05,0.0822,36.56,24.75,3309,14942525.0,4.3412789688328784e-05
2023-12-22,12:54:05,0.0851,36.56,24.75,3309,14942524.0,4.33969619110225e-05
2023-12-22,12:54:05,0.0908,36.56,24.75,3309,14942524.0,4.343200480054805e-05
2023-12-22,12:54:05,0.0949,36.56,24.75,3308,14942525.0,4.3434560697244444e-05
2023-12-22,12:54:05,0.0984,36.56,24.75,3308,14942524.0,4.349843721772373e-05
2023-12-22,12:54:05,0.1052,36.56,24.75,3309,14942524.0,4.344217555375192e-05
2023-12-22,12:54:05,0.111,36.56,24.75,3309,14942523.0,4.339213617206707e-05
2023-12-22,12:54:05,0.1159,36.56,24.75,3308,14942525.0,4.343430461940986e-05
2023-12-22,12:54:05,0.1184,36.56,24.75,3308,14942525.0,4.3454617174083426e-05
2023-12-22,12:54:05,0.1235,36.56,24.75,3309,14942525.0,4.340613322845813e-05
2023-12-22,12:54:05,0.1278,36.56,24.75,3310,14942525.0,4.342071714141289e-05
2023-12-22,12:54:05,0.1324,36.56,24.75,3310,14942524.0,4.3353478983672607e-05
