Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-02-23,13:24:03,0.0071,28.25,25.0,3371,15024678.0,2.6177425780485536e-06
2024-02-23,13:24:03,0.0112,28.25,25.0,3371,15024680.0,2.661512728695156e-06
2024-02-23,13:24:03,0.0179,28.25,25.0,3371,15024676.0,2.3783223270096985e-06
2024-02-23,13:24:03,0.0241,28.25,25.0,3371,15024680.0,2.431985433080271e-06
2024-02-23,13:24:03,0.0296,28.25,25.0,3371,15024679.0,2.434111699817516e-06
2024-02-23,13:24:03,0.0358,28.25,25.0,3370,15024680.0,2.4151991087287676e-06
2024-02-23,13:24:03,0.041,28.25,25.0,3370,15024681.0,2.657010502221794e-06
2024-02-23,13:24:03,0.0473,28.25,25.0,3370,15024677.0,2.541701049072393e-06
2024-02-23,13:24:03,0.053,28.25,25.0,3371,15024677.0,2.474121454533881e-06
2024-02-23,13:24:03,0.0567,28.25,25.0,3371,15024678.0,2.575979598414826e-06
2024-02-23,13:24:03,0.0624,28.25,25.0,3371,15024681.0,2.582188439868484e-06
2024-02-23,13:24:03,0.0704,28.25,25.0,3371,15024675.0,2.6387826350906578e-06
2024-02-23,13:24:03,0.076,28.25,25.0,3371,15024680.0,2.4218582972918866e-06
2024-02-23,13:24:03,0.0813,28.25,25.0,3371,15024678.0,2.655050503326451e-06
2024-02-23,13:24:03,0.088,28.25,25.0,3371,15024679.0,2.5773697962046946e-06
2024-02-23,13:24:03,0.0916,28.25,25.0,3372,15024677.0,2.472811792546537e-06
2024-02-23,13:24:03,0.1052,28.25,25.0,3370,15024676.0,2.7065263483114524e-06
2024-02-23,13:24:03,0.1103,28.25,25.0,3371,15024679.0,2.4606090366545404e-06
2024-02-23,13:24:03,0.1148,28.25,25.0,3372,15024679.0,2.613970413147839e-06
2024-02-23,13:24:03,0.1223,28.25,25.0,3371,15024680.0,2.5497362718166625e-06
2024-02-23,13:24:03,0.1258,28.25,25.0,3371,15024679.0,2.524377358132783e-06
2024-02-23,13:24:03,0.132,28.25,25.0,3371,15024680.0,2.4886193551483983e-06
2024-02-23,13:24:03,0.1393,28.25,25.0,3371,15024679.0,2.5010118211837637e-06
2024-02-23,13:24:03,0.1444,28.25,25.0,3372,15024675.0,2.597573843641977e-06
2024-02-23,13:24:03,0.1499,28.25,25.0,3371,15024677.0,2.659870114562379e-06
2024-02-23,13:24:03,0.1574,28.25,25.0,3371,15024678.0,2.574989135671269e-06
2024-02-23,13:24:03,0.1607,28.25,25.0,3372,15024680.0,2.638468382681448e-06
2024-02-23,13:24:03,0.1675,28.25,25.0,3373,15024675.0,2.5118687426192767e-06
2024-02-23,13:24:03,0.1728,28.25,25.0,3373,15024679.0,2.555203601631139e-06
2024-02-23,13:24:03,0.1788,28.25,25.0,3373,15024680.0,2.600638147772302e-06
2024-02-23,13:24:03,0.1857,28.25,25.0,3373,15024675.0,2.5407107881449797e-06
2024-02-23,13:24:03,0.192,28.25,25.0,3371,15024679.0,2.4872704293197724e-06
2024-02-23,13:24:03,0.1962,28.25,25.0,3370,15024676.0,2.5665520662741766e-06
2024-02-23,13:24:03,0.2011,28.25,25.0,3371,15024677.0,2.663666602868768e-06
2024-02-23,13:24:03,0.2086,28.25,25.0,3372,15024676.0,2.4833647553688345e-06
2024-02-23,13:24:03,0.2128,28.25,25.0,3372,15024681.0,2.5499650113108344e-06
2024-02-23,13:24:03,0.2186,28.25,25.0,3371,15024679.0,2.6658942669679146e-06
2024-02-23,13:24:03,0.225,28.25,25.0,3371,15024678.0,2.6775491411265963e-06
2024-02-23,13:24:03,0.2307,28.25,25.0,3372,15024679.0,2.4494998249889806e-06
2024-02-23,13:24:03,0.2377,28.25,25.0,3372,15024678.0,2.479768421825299e-06
2024-02-23,13:24:03,0.2424,28.25,25.0,3371,15024679.0,2.377634653979687e-06
2024-02-23,13:24:03,0.2519,28.25,25.0,3370,15024678.0,2.4376672462101205e-06
2024-02-23,13:24:03,0.259,28.25,25.0,3371,15024677.0,2.5512311583919035e-06
2024-02-23,13:24:03,0.2663,28.25,25.0,3372,15024678.0,2.574091901141422e-06
2024-02-23,13:24:03,0.2722,28.25,25.0,3372,15024678.0,2.465134433552869e-06
2024-02-23,13:24:03,0.2777,28.25,25.0,3370,15024676.0,2.4776608152252013e-06
2024-02-23,13:24:03,0.2836,28.25,25.0,3371,15024678.0,2.6344980042933266e-06
2024-02-23,13:24:03,0.2899,28.25,25.0,3372,15024679.0,2.6334762654784386e-06
2024-02-23,13:24:03,0.2952,28.25,25.0,3372,15024678.0,2.464342960675569e-06
2024-02-23,13:24:03,0.3009,28.25,25.0,3372,15024676.0,2.573820013387397e-06
2024-02-23,13:24:03,0.3071,28.25,25.0,3371,15024677.0,2.618270778975187e-06
2024-02-23,13:24:03,0.3124,28.25,25.0,3371,15024678.0,2.497651819782383e-06
